# z      distance_modulus     err
    0.174240    39.634909     0.110450
    0.174610    39.601607     0.131700
    0.175370    39.716926     0.124900
    0.176750    39.507456     0.129000
    0.176850    39.701495     0.106000
    0.177080    39.892792     0.127300
    0.177460    39.700068     0.129050
    0.177480    39.708050     0.121150
    0.177700    39.835945     0.110350
    0.177720    39.808666     0.122400
    0.178180    39.921417     0.128600
    0.178310    39.825239     0.113400
    0.178700    39.793572     0.115200
    0.178930    39.875435     0.122500
    0.179200    40.122399     0.149150
    0.179670    39.575557     0.169900
    0.179720    39.846295     0.113250
    0.180040    39.700538     0.143350
    0.180460    39.557721     0.105650
    0.180580    39.841340     0.111700
    0.180600    39.482889     0.114200
    0.180710    39.642661     0.164250
    0.181220    39.894793     0.105350
    0.181410    39.781448     0.159300
    0.181520    39.935566     0.125750
    0.182120    39.613054     0.137650
    0.182230    39.801688     0.126250
    0.182610    39.721454     0.137600
    0.183530    39.750106     0.124700
    0.183560    39.953072     0.128400
    0.183650    39.813735     0.141450
    0.184460    39.661258     0.130650
    0.184600    39.630271     0.108200
    0.184600    39.756457     0.111800
    0.184780    39.889741     0.105600
    0.184840    39.906570     0.123500
    0.185380    39.887576     0.104050
    0.185420    39.895026     0.128300
    0.185420    39.726090     0.116900
    0.185620    39.968161     0.129800
    0.186280    39.821944     0.113850
    0.189050    39.828885     0.118700
    0.189100    39.692609     0.130350
    0.189140    39.783494     0.128850
    0.189590    39.998534     0.160500
    0.189880    39.927270     0.118500
    0.190050    40.131426     0.155200
    0.190240    40.011251     0.118250
    0.190700    40.218070     0.119250
    0.191410    39.823356     0.155150
    0.191900    39.867751     0.140400
    0.193580    40.190934     0.136100
    0.195700    40.202625     0.129250
    0.195820    39.881617     0.115100
    0.195900    39.926157     0.119350
    0.196020    40.125790     0.109000
    0.196300    40.199361     0.136900
    0.196500    40.229887     0.138450
    0.196940    39.975066     0.116700
    0.197310    39.967919     0.112200
    0.197770    40.098973     0.129000
    0.198400    40.139681     0.131700
    0.198450    40.205301     0.138950
    0.198600    39.936339     0.122300
    0.199400    40.056138     0.141450
    0.199580    40.075933     0.152950
    0.199800    39.637242     0.135950
    0.200720    39.848030     0.160700
    0.200730    39.841891     0.211450
    0.201920    39.946480     0.114750
    0.202440    40.206770     0.137650
    0.202840    40.120134     0.116400
    0.202910    40.086009     0.120900
    0.202990    39.867830     0.138200
    0.203110    40.077948     0.125550
    0.203140    39.919729     0.120350
    0.203240    40.024027     0.119550
    0.204310    40.237825     0.124350
    0.204930    39.852147     0.156800
    0.205320    40.208691     0.135100
    0.205620    40.165566     0.120950
    0.205840    40.061257     0.157650
    0.207100    39.776084     0.185750
    0.208240    40.051383     0.120750
    0.208270    40.040017     0.131900
    0.208610    40.244224     0.112750
    0.208800    39.951391     0.161150
    0.209820    40.008431     0.158400
    0.210280    40.028867     0.133500
    0.210370    40.337186     0.120300
    0.210530    40.330844     0.150750
    0.210730    40.057107     0.162300
    0.210750    40.360946     0.126950
    0.210750    40.217552     0.105250
    0.210790    40.229569     0.123100
    0.211390    40.233665     0.127600
    0.211540    39.951149     0.181800
    0.211980    40.088116     0.122950
    0.212310    40.069854     0.130300
    0.213110    40.142164     0.142900
    0.213130    40.083676     0.123250
    0.213270    40.279510     0.136400
    0.214320    39.987684     0.130800
    0.214340    39.945281     0.173450
    0.214900    40.132299     0.148300
    0.216410    40.358566     0.115550
    0.216510    40.533483     0.136250
    0.217310    40.202942     0.139450
    0.217350    39.933333     0.156650
    0.217910    39.925774     0.142250
    0.218400    40.273680     0.141500
    0.218600    40.257902     0.168500
    0.218610    40.122930     0.134350
    0.219110    40.452434     0.126100
    0.219290    40.475957     0.153400
    0.219460    40.431536     0.102300
    0.219500    40.144864     0.134600
    0.219860    40.240596     0.108250
    0.220430    40.473547     0.154450
    0.221460    40.337916     0.149150
    0.221460    40.316246     0.119700
    0.222300    40.127323     0.139200
    0.222590    40.093818     0.154600
    0.223080    40.261511     0.128100
    0.223740    40.230566     0.122250
    0.224250    40.211431     0.153450
    0.224480    40.230958     0.153850
    0.225100    40.347521     0.129550
    0.225560    40.351998     0.122800
    0.225620    40.305869     0.124250
    0.226440    40.408766     0.141000
    0.227960    40.484895     0.150450
    0.228530    40.252971     0.128950
    0.228890    40.379271     0.143550
    0.229390    40.367661     0.127100
    0.229430    40.459243     0.141100
    0.230270    40.267337     0.146450
    0.230710    40.152801     0.152550
    0.230860    40.410651     0.153750
    0.231520    40.390662     0.149900
    0.233530    40.510886     0.152700
    0.233590    40.224049     0.153700
    0.233620    40.218446     0.159900
    0.234660    40.327550     0.195150
    0.235170    40.519302     0.145800
    0.236030    40.539619     0.123150
    0.236430    40.402572     0.143250
    0.236570    40.356333     0.146000
    0.236800    40.535356     0.124100
    0.237530    40.319296     0.131600
    0.238230    40.445089     0.143350
    0.238510    40.820468     0.247100
    0.239430    40.419317     0.147800
    0.240010    40.470589     0.164300
    0.240740    40.429059     0.117950
    0.241110    40.478398     0.111800
    0.241460    40.429691     0.130150
    0.241620    40.424345     0.151750
    0.241770    40.363483     0.156900
    0.242370    40.692613     0.151950
    0.242750    40.580342     0.121300
    0.242880    40.347209     0.117500
    0.243170    40.503924     0.154750
    0.244100    40.563966     0.144900
    0.244880    40.567005     0.129800
    0.244940    40.580094     0.123700
    0.245100    40.607861     0.144100
    0.245260    40.666416     0.188200
    0.245270    40.427939     0.147050
    0.245300    40.633648     0.141050
    0.245750    40.717358     0.122500
    0.245830    40.476644     0.130850
    0.245990    40.470887     0.121900
    0.246150    40.476664     0.146450
    0.246160    40.490823     0.130550
    0.246490    40.643109     0.108050
    0.248050    40.416871     0.134350
    0.248280    40.621539     0.138800
    0.248320    40.631791     0.132600
    0.248490    40.614454     0.147050
    0.248620    40.522013     0.139950
    0.248800    40.728453     0.159600
    0.249000    40.373490     0.115850
    0.249310    40.708447     0.140900
    0.249430    40.750372     0.144450
    0.249540    40.538111     0.124700
    0.249990    40.623132     0.133050
    0.250010    40.652263     0.162500
    0.250100    40.746795     0.132250
    0.250120    40.295786     0.143150
    0.250500    40.618047     0.111400
    0.250510    40.567652     0.131650
    0.250850    40.688398     0.165900
    0.251490    40.736837     0.126600
    0.251630    40.833832     0.146200
    0.252180    40.406261     0.160950
    0.252490    40.549416     0.113250
    0.253400    40.555498     0.112450
    0.255770    40.865927     0.181800
    0.256260    40.629082     0.161450
    0.256410    40.453651     0.174900
    0.256540    40.669894     0.148050
    0.256900    40.876807     0.167150
    0.256930    40.448611     0.144600
    0.257400    40.594358     0.150000
    0.257690    40.456919     0.142850
    0.258480    40.772148     0.140850
    0.260430    40.602316     0.152100
    0.260510    40.958606     0.122650
    0.260880    40.716339     0.142250
    0.261100    40.627882     0.138650
    0.261320    41.015991     0.178850
    0.261360    40.693838     0.158350
    0.261990    41.093301     0.108200
    0.263120    40.878655     0.131300
    0.263180    40.676501     0.142950
    0.263270    40.730552     0.151400
    0.263490    40.728416     0.107900
    0.263770    40.496255     0.156950
    0.263880    40.528623     0.141800
    0.263880    40.616651     0.129550
    0.264190    40.867474     0.166500
    0.264600    40.762415     0.138900
    0.265500    40.628360     0.130100
    0.266580    40.895076     0.147650
    0.268010    40.660375     0.167150
    0.268260    40.518430     0.152750
    0.268280    40.645677     0.162650
    0.268480    40.841646     0.144350
    0.268490    40.722323     0.105100
    0.268620    40.908499     0.099300
    0.269910    40.764200     0.126950
    0.270010    40.774071     0.137250
    0.270470    40.798944     0.124200
    0.270570    40.876237     0.169000
    0.270880    40.665158     0.120000
    0.271310    40.839440     0.107850
    0.273070    40.633565     0.145050
    0.274460    40.704394     0.152500
    0.275090    40.905873     0.116150
    0.275090    40.930841     0.138200
    0.275110    40.779601     0.155050
    0.275400    40.698638     0.153000
    0.276310    40.943459     0.190550
    0.277160    40.615326     0.205500
    0.278050    40.761539     0.139150
    0.279000    40.686145     0.132650
    0.279460    40.638054     0.139800
    0.279890    40.830358     0.113650
    0.280510    40.831618     0.110550
    0.282510    40.915560     0.107300
    0.283130    40.770236     0.135950
    0.283600    40.943162     0.102800
    0.283970    41.024100     0.114600
    0.284000    40.892080     0.151450
    0.284030    40.486707     0.136350
    0.285090    40.938427     0.154350
    0.285400    40.722961     0.123150
    0.285460    41.174203     0.139500
    0.285780    40.827244     0.135800
    0.286220    41.209135     0.155850
    0.286310    40.903512     0.150400
    0.287070    40.867873     0.142950
    0.287120    41.179408     0.149100
    0.288450    41.027450     0.125600
    0.288540    40.938542     0.163900
    0.289600    41.042575     0.164900
    0.290030    40.818438     0.153150
    0.290200    40.866311     0.138350
    0.290800    40.959199     0.146450
    0.290900    41.012122     0.159550
    0.291210    40.934286     0.150100
    0.291720    41.076067     0.125350
    0.292120    40.959608     0.122600
    0.292450    40.941167     0.164900
    0.292820    40.888921     0.135100
    0.292910    41.206385     0.170800
    0.293180    41.196251     0.143700
    0.295320    41.190631     0.192500
