# z      luminosity_distance
    0.735610  4906.412943
    0.736020  4794.802169
    0.736690  4530.325264
    0.740000  4762.550688
    0.742020  5522.962723
    0.742700  5248.540611
    0.745660  4275.703232
    0.746130  5112.041828
    0.749090  5475.886706
    0.750680  4227.544138
    0.756690  4824.245202
    0.759050  4764.420044
    0.760700  4575.301442
    0.761080  4686.898863
    0.761590  4306.980903
    0.765600  5017.200163
    0.766600  4810.533702
    0.766680  4658.671924
    0.767060  5495.150970
    0.768590  4952.446603
    0.773070  5243.972405
    0.776600  5145.205353
    0.788050  5325.729185
    0.789040  4840.603946
    0.796560  5073.289731
    0.798570  5960.968664
    0.800700  5624.947662
    0.805690  4851.374001
    0.805690  5476.694647
    0.806030  4498.408804
    0.808040  4978.005564
    0.809020  5707.787571
    0.810720  5446.964154
    0.813690  5644.848795
    0.817730  6329.524169
    0.822120  6280.512996
    0.822690  5885.432097
    0.828540  5584.627114
    0.836990  5940.588402
    0.838140  5209.646456
    0.839990  5426.442327
    0.840530  6206.716968
    0.842140  5611.253243
    0.847970  5187.234148
    0.848520  5649.275018
    0.850730  5891.930522
    0.852980  5592.893155
    0.854000  4811.938560
    0.858510  5436.204772
    0.858520  5726.017541
    0.858520  6082.434788
    0.863970  5420.509875
    0.864500  5451.209014
    0.866500  6070.510714
    0.872170  5815.418146
    0.877960  5852.801616
    0.890730  5768.414174
    0.893200  6031.262350
    0.896930  6431.925364
    0.901730  5857.758255
    0.910750  5799.760563
    0.913480  6094.321459
    0.922230  6329.140707
    0.922240  5671.280198
    0.924910  6126.368424
    0.926240  6450.119112
    0.927900  6643.378395
    0.931890  6094.909242
    0.932250  6799.208952
    0.933890  6680.039452
    0.935000  5155.373997
    0.936750  6605.704573
    0.946880  5875.895979
    0.948460  6153.081102
    0.950760  6192.979698
    0.958860  7149.799254
    0.960740  6718.862813
    0.960750  6354.301925
    0.970000  6419.602178
    0.975200  6964.452118
    0.983300  7027.808486
    0.983410  5852.864993
    0.983770  6627.862518
    0.996400  6322.632286
    0.997810  6981.175650
    1.002790  7463.513295
    1.014000  8263.130177
    1.020000  7497.322172
    1.028790  6986.661948
    1.060800  6467.450228
    1.092000  8998.222146
    1.120000  6848.612026
    1.206000  9545.902636
    1.230000  9831.639757
    1.230000  7905.343013
    1.300000  9368.616538
    1.305000 10503.686600
    1.315000  9555.135961
    1.330000  9144.236897
    1.340000 11002.658135
    1.370000 10451.411864
    1.390000 10076.168432
    1.540000 11058.196869
    1.550000 13273.692791
    1.700000 15216.172240
    1.800000 14398.223543
    1.914000 15200.935806
    2.260000 17930.243813
