# Ell      ell*(ell+1)C_l/(2\pi)     err
   932    32.128177     6.335000
   933    40.541144     6.362000
   934    38.119058     6.389000
   935    38.608557     6.416000
   936    38.801694     6.444000
   937    34.501590     6.471000
   938    36.772152     6.498000
   939    36.248895     6.524000
   940    24.016222     6.551000
   941    28.967494     6.578000
   942    26.087311     6.604000
   943    39.088839     6.631000
   944    23.687704     6.657000
   945    28.412645     6.683000
   946    26.136650     6.709000
   947    38.473423     6.735000
   948    31.112353     6.761000
   949    39.281117     6.787000
   950    46.721597     6.812000
   951    32.867952     6.838000
   952    39.261950     6.863000
   953    47.547753     6.888000
   954    36.252061     6.913000
   955    38.224935     6.938000
   956    33.373881     6.963000
   957    21.638869     6.987000
   958    36.936483     7.012000
   959    38.452312     7.036000
   960    36.698415     7.060000
   961    45.308432     7.084000
   962    36.638194     7.108000
   963    34.780581     7.131000
   964    29.384602     7.154000
   965    39.656622     7.178000
   966    40.673118     7.201000
   967    37.547827     7.223000
   968    34.618942     7.246000
   969    31.073438     7.268000
   970    50.830575     7.290000
   971    38.285587     7.312000
   972    37.491569     7.334000
   973    45.322242     7.356000
   974    29.830034     7.377000
   975    52.567592     7.398000
   976    28.406558     7.419000
   977    43.875307     7.440000
   978    32.838280     7.461000
   979    38.367798     7.481000
   980    39.359077     7.501000
   981    38.559848     7.521000
   982    32.465971     7.541000
   983    40.200466     7.561000
   984    38.385126     7.580000
   985    36.037915     7.599000
   986    43.059603     7.618000
   987    45.392545     7.637000
   988    62.588841     7.656000
   989    38.510447     7.674000
   990    34.963693     7.692000
   991    46.474922     7.711000
   992    49.175873     7.728000
   993    34.502484     7.746000
   994    36.474215     7.763000
   995    30.127077     7.781000
   996    39.902849     7.798000
   997    35.935044     7.815000
   998    43.584693     7.853000
   999    43.292872     7.869000
  1000    40.092412     9.796000
  1001    40.777873     9.814000
  1002    26.322960     9.944000
  1003    40.460499     9.961000
  1004    42.410273     9.982000
  1005    37.746192     9.999000
  1006    52.082710    10.016000
  1007    42.973888    10.033000
  1008    33.776212    10.050000
  1009    39.615451    10.066000
  1010    33.763430    10.082000
  1011    37.330600    10.098000
  1012    36.058205    10.114000
  1013    51.237462    10.130000
  1014    46.633311    10.145000
  1015    50.627998    10.161000
  1016    36.290114    10.176000
  1017    55.583943    10.191000
  1018    35.313759    10.205000
  1019    50.166188    10.220000
  1020    46.287801    10.235000
  1021    30.929038    10.249000
  1022    37.883370    10.263000
  1023    30.863686    10.277000
  1024    55.977384    10.291000
  1025    33.434964    10.305000
  1026    54.093086    10.318000
  1027    25.379781    10.332000
  1028    34.744388    10.345000
  1029    34.569375    10.359000
  1030    48.995363    10.372000
  1031    33.709211    10.385000
  1032    30.473315    10.398000
  1033    37.325955    10.411000
  1034    40.567471    10.424000
  1035    32.261828    10.437000
  1036    28.962316    10.449000
  1037    44.250362    10.462000
  1038    48.071220    10.474000
  1039    26.580923    10.487000
  1040    46.552218    10.499000
  1041     8.171917    10.512000
  1042    12.750000    10.524000
  1043    44.070832    10.536000
  1044    38.498296    10.549000
  1045    42.759110    10.561000
  1046    44.008995    10.573000
  1047    43.758217    10.585000
  1048    42.995302    10.598000
  1049    23.792705    10.610000
